"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Abraham","297355133",16508500,18000000,1491500,9
"TSCC","334769237",12424500,9165000,-3259500,-26.2
"ṪѦ MakoDeth","218983262",11719000,6730000,-4989000,-42.6
"Ringo","368357455",10291500,12150000,1858500,18.1
"DarthNox 2703","386563717",10275500,12600000,2324500,22.6
"SuPerioR 3","439635988",8855000,10500000,1645000,18.6
"Ro-Tahn Taske","851385852",8778500,3600000,-5178500,-59
"DragonKing","257351551",8348500,7300000,-1048500,-12.6
"Josef29","588644288",8154500,8100000,-54500,-0.7
"Jellal","987862611",8116500,6367500,-1749000,-21.5
"MILU1110","341197896",7824000,8227500,403500,5.2
"Silchas Ruin","485891948",7783000,1680000,-6103000,-78.4
"Nachtwolf74","629941441",7775500,6327500,-1448000,-18.6
"Deus ex Machina","685272141",7693000,6600000,-1093000,-14.2
"Emmitt","627611788",7565000,7417500,-147500,-1.9
"ṪѦ JediFant","861435415",7463000,7432500,-30500,-0.4
"LordSkinny","633524812",6983000,6847500,-135500,-1.9
"Odins rache","229262754",6702500,5902500,-800000,-11.9
"CaptainKelly","718362326",6610000,6732500,122500,1.9
"Stoffel","786132254",6381000,6460000,79000,1.2
"SКЏШΛŁКΞЯ","442171851",5994500,5302500,-692000,-11.5
"VADS666","351844152",5963500,6667500,704000,11.8
"RitterRunkel","724534733",5926000,9900000,3974000,67.1
"ṪѦ Thom san","277948331",5711000,5010000,-701000,-12.3
"Thyranus","885297615",5689500,5085000,-604500,-10.6
"Acania","748991189",5674500,5330000,-344500,-6.1
"Papa Faett","842281138",5625000,6052500,427500,7.6
"Skymaster","774651231",5371000,5700000,329000,6.1
"Aleix Koka","728896449",5283000,5060000,-223000,-4.2
"Hoss","997196913",5232500,2400000,-2832500,-54.1
"Kohlenkalle","655291236",5149500,5400000,250500,4.9
"DarthUnaxis","731554425",5043000,2710000,-2333000,-46.3
"Telemachus","237913636",4995000,5100000,105000,2.1
"DonBull","726762935",4611000,3800000,-811000,-17.6
"NΞKΘNΞΧU シ","656655975",4608500,3190000,-1418500,-30.8
"Appo","626873282",4602500,4050000,-552500,-12
"East Clintwood","822211689",4129000,5100000,971000,23.5
"Snafu exHuibu","991112621",3903000,2530000,-1373000,-35.2
"Mol Hosk","913615485",3756000,3615000,-141000,-3.8
"MrBete","862865286",3746000,2977500,-768500,-20.5
"Imperator","877586864",3530500,3150000,-380500,-10.8
"Lanzi","636115652",3472500,3000000,-472500,-13.6
"HaihappenUhaha","988393429",3453500,3075000,-378500,-11
"Goldbeard Ceadeus","663265392",3223000,3300000,77000,2.4
"Kyle Katarn","397297858",3150000,2772500,-377500,-12
"CJ","734513757",2906500,1687500,-1219000,-41.9
"SS","181786441",2659000,1555000,-1104000,-41.5
"Joggl","161384159",2354000,2202500,-151500,-6.4
"RoteZora87","532287738",2200500,600000,-1600500,-72.7
"Tony1220","765335759",1567500,1817500,250000,15.9